id,name,description,location,size,art_period,exhibit_count
1,Зал Фойе,"Входная зона музея, где посетители могут ознакомиться с основными экспозициями",Первый этаж,200,Фойе,0
2,Зал Ренессанса,Произведения эпохи Возрождения,Первый этаж,200,Ренессанс,3
3,Зал Барокко,Искусство эпохи Барокко,Второй этаж,220,Барокко,3
4,Зал Рококо,Коллекция искусства Рококо,Третий этаж,180,Рококо,3
5,Зал Классицизма,Произведения эпохи Классицизма,Первый этаж,200,Классицизм,3
6,Зал Романтизма,Искусство эпохи Романтизма,Третий этаж,210,Романтизм,3
7,Зал Импрессионизма,Коллекция импрессионизма,Первый этаж,230,Импрессионизм,3
8,Зал Постимпрессионизма,Произведения постимпрессионизма,Второй этаж,200,Постимпрессионизм,3
9,Зал Модернизма,Искусство XX века,Второй этаж,250,Модернизм,3
10,Зал Сюрреализма,Коллекция сюрреализма,Третий этаж,190,Сюрреализм,3
